year_group,sow_set,id,term,week,dates,cycle,unit,unitName,lessonNo,lessonName,type,obj,alert
Year 12,P12 (Ma1P12 / Ma2P12),y12_p12_001,Michaelmas,M1A,27-28 Aug 2026,A,0,Start of Year,,"Induction, routines and diagnostic",flex,"Set up folders/books, calculator expectations, exam-board routines and diagnostic information. No first teaching.",partial start
Year 12,P12 (Ma1P12 / Ma2P12),y12_p12_002,Michaelmas,M1A,27-28 Aug 2026,A,0,Start of Year,,Baseline check and course expectations,flex,"Set up folders/books, calculator expectations, exam-board routines and diagnostic information. No first teaching.",partial start
Year 12,P12 (Ma1P12 / Ma2P12),y12_p12_003,Michaelmas,M2B,31 Aug-4 Sep 2026,B,1,P1.1. Algebraic Expressions,,P1.1.1 Index Laws + P1.1.2 Expanding Brackets,core,Apply and manipulate index laws for integer and fractional powers. Simplify algebraic and numerical expressions using index notation. / Expand single and double brackets using the distributive law. Simplify expressions by collecting like terms and combining results.,Yr 12 CAT4 testing Wed 2 Sep
Year 12,P12 (Ma1P12 / Ma2P12),y12_p12_004,Michaelmas,M2B,31 Aug-4 Sep 2026,B,1,P1.1. Algebraic Expressions,,P1.1.3 Factorising,core,"Factorise expressions using common factors, grouping, and special products. Verify factorisations by re-expanding expressions.",
Year 12,P12 (Ma1P12 / Ma2P12),y12_p12_005,Michaelmas,M2B,31 Aug-4 Sep 2026,B,1,P1.1. Algebraic Expressions,,P1.1.4 Negative and Fractional Indices,core,Interpret and apply negative and fractional indices in algebraic expressions. Convert between index and root notation to simplify powers.,
Year 12,P12 (Ma1P12 / Ma2P12),y12_p12_006,Michaelmas,M2B,31 Aug-4 Sep 2026,B,1,P1.1. Algebraic Expressions,,P1.1.5 Surds + P1.1.6 Rationalising Denominators,core,Simplify surds and express results in exact form. Rationalise and manipulate surd expressions within calculations. / Rationalise single- and two-term denominators. Simplify expressions containing surds in exact form.,
Year 12,P12 (Ma1P12 / Ma2P12),y12_p12_007,Michaelmas,M3A,7-11 Sep 2026,A,1,P1.1. Algebraic Expressions,,Revision,cse,Mixed revision and exam-style practice for P1.1. Algebraic Expressions.,Exeter 1 Thu 10 Sep
Year 12,P12 (Ma1P12 / Ma2P12),y12_p12_008,Michaelmas,M3A,7-11 Sep 2026,A,1,P1.1. Algebraic Expressions,★,Unit Test: P1.1. Algebraic Expressions,assessment,End-of-unit assessment for P1.1. Algebraic Expressions.,
Year 12,P12 (Ma1P12 / Ma2P12),y12_p12_009,Michaelmas,M3A,7-11 Sep 2026,A,2,P1.2. Quadratics & P1.3. Equations and Inequalities,,P1.2.1 Solving Quadratic Equations + P1.2.2 Completing the Square,core,"Solve quadratics by factorisation, formula, and completing the square. Verify and interpret real and non-real roots. / Express quadratics in completed square form. Use completed square form to identify turning points and solve equations.",
Year 12,P12 (Ma1P12 / Ma2P12),y12_p12_010,Michaelmas,M3A,7-11 Sep 2026,A,2,P1.2. Quadratics & P1.3. Equations and Inequalities,,P1.2.3 Functions,core,"Use function notation to define, evaluate, and interpret functions. Determine domain, range, and composite functions.",
